"Name","Short Name","Description","Types","Latitude","Longitude"
TCUP-15,TCUP-15,point,"Point Count Point",39.516004494316,-122.5797436566
TCUP-16,TCUP-16,point,"Point Count Point",39.554329454517,-122.58824231294
TCUP-17,TCUP-17,point,"Point Count Point",39.534076783071,-122.59418017217
TCUP-18,TCUP-18,point,"Point Count Point",39.531783004224,-122.58255753808
TCUP-19,TCUP-19,point,"Point Count Point",39.516014971192,-122.58265193236
TCUP-20,TCUP-20,point,"Point Count Point",39.509236208077,-122.5768763778
TCRI,TCRI,point,"Point Count Transect",39.559149743912,-122.59343165199
TCRI-01,TCRI-01,point,"Point Count Point",39.559149743912,-122.59343165199
TCRI-10,TCRI-10,point,"Point Count Point",39.553930160994,-122.60258871446
TCRI-11,TCRI-11,point,"Point Count Point",39.552299380789,-122.60461109991
TCRI-02,TCRI-02,point,"Point Count Point",39.560877083078,-122.59153801287
TCRI-03,TCRI-03,point,"Point Count Point",39.559814927862,-122.58901673673
TCRI-04,TCRI-04,point,"Point Count Point",39.559069278956,-122.58634525626
TCRI-05,TCRI-05,point,"Point Count Point",39.558055403722,-122.58381325057
TCRI-06,TCRI-06,point,"Point Count Point",39.556912780979,-122.58129733905
TCRI-07,TCRI-07,point,"Point Count Point",39.55738484688,-122.59519654573
TCRI-08,TCRI-08,point,"Point Count Point",39.556124216522,-122.59753006767
TCRI-09,TCRI-09,point,"Point Count Point",39.555045967289,-122.6001157177
FOWE-01,FOWE-01,point,"Point Count Point",38.680635938811,-120.86174789991
FOWE-02,FOWE-02,point,"Point Count Point",38.680555298974,-120.85881903592
FOWE-03,FOWE-03,point,"Point Count Point",38.680504341737,-120.85603873051
FOWE-04,FOWE-04,point,"Point Count Point",38.678207931773,-120.85610727218
FOWE-05,FOWE-05,point,"Point Count Point",38.676027960742,-120.85613784794
FOWE-06,FOWE-06,point,"Point Count Point",38.673730916893,-120.85617191218
FOWE-07,FOWE-07,point,"Point Count Point",38.671516185868,-120.85627247701
FOWE-08,FOWE-08,point,"Point Count Point",38.670552519231,-120.85384160996
FOWE-09,FOWE-09,point,"Point Count Point",38.673731828011,-120.85327538367
FOWE-10,FOWE-10,point,"Point Count Point",38.676001218922,-120.85320756982
FOWE-11,FOWE-11,point,"Point Count Point",38.678235852642,-120.85320975573
FOEA-12,FOEA-12,point,"Point Count Point",38.675832347535,-120.84745393088
FOEA-13,FOEA-13,point,"Point Count Point",38.673598987084,-120.84752084675
FOEA-14,FOEA-14,point,"Point Count Point",38.672066993469,-120.84995744945
FOEA-15,FOEA-15,point,"Point Count Point",38.673546286478,-120.84466041748
FOEA-16,FOEA-16,point,"Point Count Point",38.671629710613,-120.84236170419
FOEA-17,FOEA-17,point,"Point Count Point",38.668812241956,-120.84056141515
FOEA-18,FOEA-18,point,"Point Count Point",38.668952866545,-120.84378679697
ELD-15-02,ELD-15-02,,"Study Area",,
THRA,THRA,transect,"Point Count Transect",,
THRA-01,THRA-01,point,"Point Count Point",38.772961212225,-120.91282552852
THRA-02,THRA-02,point,"Point Count Point",38.770700982766,-120.9129029298
THRA-03,THRA-03,point,"Point Count Point",38.772899706663,-120.90938581118
